response,total_count,tags
Spot fat reduction,1,unmapped
Still hungry. On 12.5 zepbound. No energy,1,desire.energy;desire.appetite_control;desire.medication_interest;concern.plateau_switcher;segment.current_glp1
Stopping g food noise. Learning to eat in moderation,1,desire.plan_guidance;desire.appetite_control
"Stress eating, low energy, motivation",1,desire.energy;desire.plan_guidance
Stress,1,unmapped
Stubborn weight loss,1,desire.weight_loss
Sweet food junkie,1,desire.plan_guidance;desire.appetite_control
Taking GLP-1,1,desire.medication_interest;segment.current_glp1
That I need help losing weight,1,desire.weight_loss
That is equivalent to Mounjaro. Starting at same dose I am currently on.,1,desire.medication_interest;segment.current_glp1
"The Glo 1 I was taking- shot- 10ml I only lost 8 lbs - 1000.$ and 3 mos. - no side effects 
What can I expect from this med?",1,desire.weight_loss;desire.specific_target;question.cost_coverage;question.side_effects;question.modality;concern.affordability;segment.lapsed;segment.modest_goal
The advancement on the shots was too slow to help me lose weight as I should,1,desire.weight_loss;question.modality;concern.plateau_switcher
The belly apron,1,desire.weight_loss;desire.belly
The best exercises I could do for the weight loss and they could guide me far as eating healthy,1,desire.weight_loss;desire.plan_guidance
The cost,1,question.cost_coverage
The drugs,1,desire.medication_interest
"The onset of osteoarthritis has dramatically limited my mobility, resulting in a serious increase in body weight and joint pain.",1,desire.weight_loss;desire.pain_mobility
The risks associated with GLP1,1,desire.medication_interest;question.safety
The safety of glp,1,desire.medication_interest;question.safety
The side effects,1,question.side_effects
Things to do to be healthy,1,desire.general_health
"Thyroid
Weight loss",1,desire.weight_loss;desire.disease_control;concern.comorbidity_safety
Tired of being overweight..I’m at 114…I’d like to get down to 90/95.,1,desire.weight_loss;desire.specific_target;desire.energy
To be able to loose 20 pounds,1,desire.weight_loss;desire.specific_target;segment.modest_goal
To get my zepbound injections at a $50.00 a month.,1,desire.medication_interest;question.cost_coverage;question.modality
To lose about 25 lbs and keep it off,1,desire.weight_loss;desire.specific_target;desire.maintenance
To lose fat and gain strength,1,desire.weight_loss;desire.muscle_strength
To lose weight I exercise and watch what I eat but it doesn’t matter,1,desire.weight_loss;desire.plan_guidance
"To lose weight to prevent knee pains, diabetes, and other diseases",1,desire.weight_loss;desire.pain_mobility;desire.disease_control;desire.general_health
"To lose weight, improve energy and stay motivated.",1,desire.weight_loss;desire.energy;desire.plan_guidance
To loss weight responsible,1,desire.weight_loss
Trying to lose belly fat. Not feel so tired,1,desire.weight_loss;desire.belly;desire.energy
WEIGHTLOSS,1,desire.weight_loss
Want to find a medication that really work. I want to live longer.,1,desire.appearance;concern.skepticism_trust
Want to loose weight and keep it off,1,desire.weight_loss;desire.maintenance
Want to loss 40 pounds and keep it off,1,desire.weight_loss;desire.specific_target;desire.maintenance
"Wegovy from Hers is not working 
About 4 years ago, I did very well on monjaro",1,desire.medication_interest;concern.plateau_switcher
Wei8 maintenance after the pill.  Site effects associated when taking the pill if any.,1,desire.maintenance;desire.medication_interest;question.side_effects;question.modality
Weigh and strngth,1,desire.weight_loss
Weigh loss without loss of strength; better ease of managing chronic illnesses and lack of good balance; better diet with lack of good nutrition.,1,desire.weight_loss;desire.pain_mobility;desire.muscle_strength;desire.plan_guidance
Weight LOSS!,1,desire.weight_loss
"Weight Loss, lack of energy & bloating",1,desire.weight_loss;desire.energy
Weight Loss,1,desire.weight_loss
"Weight Management, Chronic Pain Management, Fatiga & Vertigo",1,desire.weight_loss;desire.energy;desire.pain_mobility
Weight Management,1,desire.weight_loss
Weight fatigue chronic pain,1,desire.weight_loss;desire.energy;desire.pain_mobility
Weight lose I have knee and back issues and the weight is not good I lose then regain yo yo for years,1,desire.weight_loss;desire.pain_mobility;concern.tried_everything
Weight lose,1,desire.weight_loss
Weight loss & energy,1,desire.weight_loss;desire.energy
Weight loss Staying Healthy,1,desire.weight_loss
Weight loss and anti aging,1,desire.weight_loss;desire.appearance;concern.age
Weight loss and back pain,1,desire.weight_loss;desire.pain_mobility
Weight loss and constapation,1,desire.weight_loss;question.side_effects
Weight loss and cost of medication.,1,desire.weight_loss;question.cost_coverage
Weight loss and joint pain,1,desire.weight_loss;desire.pain_mobility
Weight loss and keeping it off,1,desire.weight_loss;desire.maintenance
Weight loss and maintain,1,desire.weight_loss;desire.maintenance
Weight loss and reverse current muscle loss,1,desire.weight_loss;desire.muscle_strength;concern.side_effect_fear
Weight loss and sleep apena,1,desire.weight_loss;desire.disease_control
Weight loss during care for congestive heart failure,1,desire.weight_loss;desire.disease_control;concern.comorbidity_safety
Weight loss faste,1,desire.weight_loss
Weight loss firm up,1,desire.weight_loss;desire.appearance
Weight loss for a cheaper price!,1,desire.weight_loss;question.cost_coverage;concern.affordability
Weight loss for my health. Very hard to walk long distances and also have COPD and the weight is very hard on me,1,desire.weight_loss;desire.pain_mobility;desire.disease_control;concern.comorbidity_safety
Weight loss meds,1,desire.weight_loss;desire.medication_interest
Weight loss without medication.,1,desire.weight_loss
"Weight loss,  nutrition and building muscle",1,desire.weight_loss;desire.muscle_strength;desire.plan_guidance
"Weight loss, Skin tightening & energy",1,desire.weight_loss;desire.energy;desire.appearance
"Weight loss, aches and pains. Any side effects?",1,desire.weight_loss;desire.pain_mobility;question.side_effects
"Weight loss, medical history",1,desire.weight_loss
Weight loss.,1,desire.weight_loss
Weight loss.and pain control,1,desire.weight_loss;desire.pain_mobility
Weight loss/maintenance,1,desire.weight_loss;desire.maintenance
Weight maintenance,1,desire.weight_loss;desire.maintenance
Weight management and neck low back pain,1,desire.weight_loss;desire.pain_mobility
"Weight management, particularly around tummy, hips. And exercise regimen",1,desire.weight_loss;desire.belly;desire.pain_mobility;desire.plan_guidance
"Weight not moving despite calorie restriction, exercise, etc.",1,desire.weight_loss;desire.plan_guidance;concern.plateau_switcher;concern.tried_everything
Weight reduction,1,desire.weight_loss
Weightloss,1,desire.weight_loss
We’re where I’m losing weight that’s what I wanna talk about. That’s all I wanna talk about see this gut. Nothing else to be said.,1,desire.weight_loss
What am I doing wrong,1,unmapped
What and when t o eat,1,desire.plan_guidance
"What are the side effects of using GLP1, when I have cirrhosis.",1,desire.disease_control;desire.medication_interest;question.side_effects;concern.comorbidity_safety
What can I do to lose weight,1,desire.weight_loss
What can help me get stronger and eat foods so I dont gain weight,1,desire.weight_loss;desire.maintenance;desire.muscle_strength;desire.plan_guidance
What does the medicine actually do,1,question.how_it_works
What is Bold?,1,question.how_it_works
"What is the safest and most effective plan for me to lose fat while preserving muscle, bone density, and overall health?",1,desire.weight_loss;desire.muscle_strength;desire.general_health
What is your medication exactly,1,question.how_it_works
What medication I can take for weight loss.,1,desire.weight_loss;question.how_it_works
What to eat,1,desire.plan_guidance
What's the best way to lose We,1,desire.weight_loss
Why I can't lose ten more pounds?,1,desire.weight_loss;concern.tried_everything
Why I don’t loose weight even when I eat small portions,1,desire.weight_loss;desire.plan_guidance;concern.tried_everything
"Why did the first time tell me I “was approved” but then when it got to this part and I asked a few questions told me I wasn’t approved, except for some kind of exercise program",1,desire.plan_guidance;question.safety
Why do I want to eat all the time?,1,desire.appetite_control
Why does weight loss meds not work,1,desire.weight_loss;desire.medication_interest
"Why even eating proper foods, no processed foods,intermittent fasting cannot seem to lose weight",1,desire.weight_loss;desire.plan_guidance;concern.tried_everything
Why gain a weight very fast,1,desire.weight_loss
"Why, I’m a slow looser?",1,concern.tried_everything
Will help my heart,1,desire.disease_control
Will it cause nausea,1,question.side_effects
Will it come back after I go offit,1,question.duration
Working in exercise,1,desire.plan_guidance
Would like to lose 60 lbs and concerned with loose skin after weight lose,1,desire.weight_loss;desire.specific_target;desire.appearance;concern.side_effect_fear
Would like to lose weight so I would have more energy to do things feel better about myself. I used to work out when I was younger.,1,desire.weight_loss;desire.energy;desire.appearance
Wt loss & tone,1,desire.weight_loss;desire.appearance
Wt loss,1,desire.weight_loss
"Yes, I’m I wake up tired in the morning and then I’m tired all day and then I wake up late in the afternoon where my body wakes up and I can function and I need to lose some weight 20 pounds",1,desire.weight_loss;desire.specific_target;desire.energy;segment.modest_goal
Yo yo dieting,1,desire.plan_guidance;concern.tried_everything
always hungry can't lose my stomach,1,desire.weight_loss;desire.belly;desire.appetite_control;concern.tried_everything
can i get on the GLP-1 program?  I am on the Bold exercise program through Kaiser,1,desire.plan_guidance;desire.medication_interest;question.eligibility;segment.current_glp1
"eating healthy, losing weight",1,desire.weight_loss;desire.plan_guidance
finding the cause and what type of eating style is best for CKD,1,desire.disease_control;concern.comorbidity_safety
healthy weight loss,1,desire.weight_loss
living a healthier lifestyle,1,desire.general_health
loosing weight,1,desire.weight_loss
losing belly fat,1,desire.weight_loss;desire.belly
losing weight  safely,1,desire.weight_loss
losing weight,1,desire.weight_loss
medications to facilitate weight loss,1,desire.weight_loss
my weight and i love food,1,desire.weight_loss;desire.plan_guidance
my weight loss has stalled,1,desire.weight_loss;concern.plateau_switcher
not to fast But Slow steady  give time to adjust,1,unmapped
only want to lose 20 lbs max. then would it be possible to go on maintence?,1,desire.weight_loss;desire.specific_target;desire.maintenance;segment.modest_goal
side effects. best injection site.,1,question.side_effects;question.modality
slow a steady pace  keeping healthy,1,desire.general_health
stopping the hunger,1,desire.appetite_control
the types of resistance excercises that I would need to do to keep from losing muscle,1,desire.weight_loss;desire.muscle_strength
want to lose and maintain weight,1,desire.weight_loss;desire.maintenance
weight loss medication cost,1,desire.weight_loss;desire.medication_interest;question.cost_coverage
weight loss or surgery,1,desire.weight_loss;desire.pain_mobility
weight loss to keep A1C down and get my BMI to a healthy level,1,desire.weight_loss;desire.disease_control
"weight loss, energy",1,desire.weight_loss;desire.energy
"weight maintenance, I have lost 60 lbs in past year but need help to maintain the loss",1,desire.weight_loss;desire.specific_target;desire.maintenance;segment.maintenance_phase
why am I doing this through you guys what's in it for you?,1,concern.skepticism_trust
